algorithm,type,size,time_us,comparisons
StdQuickSort,random,100,118.1,8255
StdMergeSort,random,100,122.7,598
TernaryQuickSort,random,100,212.2,585
StringMergeSort,random,100,203.8,528
MSBRadixSort,random,100,90.5,0
MSBRadixHybrid,random,100,90.5,80
StdQuickSort,reverse,100,147.8,7629
StdMergeSort,reverse,100,142.2,403
TernaryQuickSort,reverse,100,219,547
StringMergeSort,reverse,100,175.7,299
MSBRadixSort,reverse,100,93.2,0
MSBRadixHybrid,reverse,100,96.7,76
StdQuickSort,almost,100,175.9,7478
StdMergeSort,almost,100,136.8,486
TernaryQuickSort,almost,100,230.5,558
StringMergeSort,almost,100,97.7,365
MSBRadixSort,almost,100,54.8,0
MSBRadixHybrid,almost,100,53.4,79
StdQuickSort,random,200,435.3,16142
StdMergeSort,random,200,302.6,1491
TernaryQuickSort,random,200,721,1589
StringMergeSort,random,200,327,1201
MSBRadixSort,random,200,156.6,0
MSBRadixHybrid,random,200,227.4,302
StdQuickSort,reverse,200,408.5,14904
StdMergeSort,reverse,200,316.5,997
TernaryQuickSort,reverse,200,522.1,1259
StringMergeSort,reverse,200,263.2,590
MSBRadixSort,reverse,200,116.5,0
MSBRadixHybrid,reverse,200,180.2,260
StdQuickSort,almost,200,283.5,15274
StdMergeSort,almost,200,273.7,1194
TernaryQuickSort,almost,200,441.8,1284
StringMergeSort,almost,200,267.4,711
MSBRadixSort,almost,200,118.5,0
MSBRadixHybrid,almost,200,126.3,269
StdQuickSort,random,300,514.2,24047
StdMergeSort,random,300,316.4,2528
TernaryQuickSort,random,300,664.5,2670
StringMergeSort,random,300,469.9,1924
MSBRadixSort,random,300,161.2,0
MSBRadixHybrid,random,300,239,608
StdQuickSort,reverse,300,360.8,20586
StdMergeSort,reverse,300,296.4,1693
TernaryQuickSort,reverse,300,473.2,2038
StringMergeSort,reverse,300,354,918
MSBRadixSort,reverse,300,163.1,0
MSBRadixHybrid,reverse,300,202.7,491
StdQuickSort,almost,300,353.5,21289
StdMergeSort,almost,300,297.8,1957
TernaryQuickSort,almost,300,472.4,2052
StringMergeSort,almost,300,368.7,1017
MSBRadixSort,almost,300,164.2,0
MSBRadixHybrid,almost,300,264,497
StdQuickSort,random,400,725.9,33391
StdMergeSort,random,400,453,3659
TernaryQuickSort,random,400,965.3,3497
StringMergeSort,random,400,563.7,2704
MSBRadixSort,random,400,212,0
MSBRadixHybrid,random,400,351.2,968
StdQuickSort,reverse,400,482.4,30400
StdMergeSort,reverse,400,403.7,2430
TernaryQuickSort,reverse,400,647,2844
StringMergeSort,reverse,400,499.6,1242
MSBRadixSort,reverse,400,211.9,0
MSBRadixHybrid,reverse,400,293.7,749
StdQuickSort,almost,400,490,30185
StdMergeSort,almost,400,412.3,2912
TernaryQuickSort,almost,400,901.1,2857
StringMergeSort,almost,400,671,1340
MSBRadixSort,almost,400,286.6,0
MSBRadixHybrid,almost,400,325.5,765
StdQuickSort,random,500,804.4,41400
StdMergeSort,random,500,547.9,4869
TernaryQuickSort,random,500,1059,4552
StringMergeSort,random,500,752.4,3538
MSBRadixSort,random,500,290.8,0
MSBRadixHybrid,random,500,464,1310
StdQuickSort,reverse,500,584.2,31955
StdMergeSort,reverse,500,531.1,3076
TernaryQuickSort,reverse,500,813,3686
StringMergeSort,reverse,500,653.9,1518
MSBRadixSort,reverse,500,260.1,0
MSBRadixHybrid,reverse,500,397.3,1065
StdQuickSort,almost,500,603.8,34816
StdMergeSort,almost,500,520,3897
TernaryQuickSort,almost,500,852.9,3721
StringMergeSort,almost,500,625.1,1724
MSBRadixSort,almost,500,256.9,0
MSBRadixHybrid,almost,500,396.6,1088
StdQuickSort,random,600,1447.8,49085
StdMergeSort,random,600,785.9,6132
TernaryQuickSort,random,600,1399,5555
StringMergeSort,random,600,899.1,4348
MSBRadixSort,random,600,315.8,0
MSBRadixHybrid,random,600,609.3,1776
StdQuickSort,reverse,600,1107.1,42416
StdMergeSort,reverse,600,754.4,4022
TernaryQuickSort,reverse,600,1076,4536
StringMergeSort,reverse,600,811,1934
MSBRadixSort,reverse,600,309,0
MSBRadixHybrid,reverse,600,495.3,1396
StdQuickSort,almost,600,764.2,42407
StdMergeSort,almost,600,682.1,4482
TernaryQuickSort,almost,600,1077.4,4570
StringMergeSort,almost,600,795.5,2016
MSBRadixSort,almost,600,318.5,0
MSBRadixHybrid,almost,600,495.7,1415
StdQuickSort,random,700,1300.9,59938
StdMergeSort,random,700,1036,7437
TernaryQuickSort,random,700,1626.9,6979
StringMergeSort,random,700,1070.6,5233
MSBRadixSort,random,700,358.5,0
